,Cryptocurrency addresses associated with Lazarus Group,,
,Civil Action No.,20-2396,
,address,network,hack 
,0x098B716B8Aaf21512996dC57EB0615e2383E2f96,Ethereum,
,,,
,0x94f1b9b64e2932f6a2db338f616844400cd58e8a,Ethereum,stake.com
,0xba36735021a9ccd7582ebc7f70164794154ff30e,Ethereum,stake.com
,0xbda83686c90314cfbaaeb18db46723d83fdf0c83,Ethereum,stake.com
,0x7d84d78bb9b6044a45fa08b7fe109f2c8648ab4e,Ethereum,stake.com
,0xff29a52a538f1591235656f71135c24019bf82e5,BSC,stake.com
,0x0004a76e39d33edfeac7fc3c8d3994f54428a0be,BSC,stake.com
,0xbcedc4f3855148df3ea5423ce758bda9f51630aa,BSC,stake.com
,0xe03a1ae400fa54283d5a1c4f8b89d3ca74afbd62,BSC,stake.com
,0x95b6656838a1d852dd1313c659581f36b2afb237,BSC,stake.com
,0xa2e898180d0bc3713025d8590615a832397a8032,Polygon,stake.com
,0xa26213638f79f2ed98d474cbcb87551da909685e,Polygon,stake.com
,bc1qfesn3jj65fhmf00hh45ueql8je8jae6ep3qk84,Bitcoin,stake.com
,bc1qtalh4l8qc0p2qw70axxjhwu9z7rm93td5sgsl3,Bitcoin,stake.com
,bc1qlq3s8hgczfe62yt94xqasdr5ftuuyrc5kgvpwr,Bitcoin,stake.com
,bc1qy78e6ml7f3p438jqrrlzsewx625y0sr7jsesa7,Bitcoin,stake.com
,bc1qqa682d2q0wtx5gfpxh4yfl9s4k00ukakl5fpk5,Bitcoin,stake.com
,bc1qmqgkxzzfzjqepptw9xzxy03672xg55q559fmvr,Bitcoin,stake.com
,bc1qdjmwm8q74r0yx99nghaeu33xdmz3lqnt2uspqv,Bitcoin,stake.com
,bc1qrqv5f7jxhp67jcgk9wv5jx4795wlntvhdz2a7j,Bitcoin,stake.com
,bc1q82gvk20m08uctmmr97p2mqyxtyh6xf68rwe0t9,Bitcoin,stake.com
,bc1q8y9wc2p9444y8r77xtmswxm9qqw90nrpufkx47,Bitcoin,stake.com
,bc1qqvpjgaurtnhc8smkmdtwhx9c8207m0prsyxyjx,Bitcoin,stake.com
,bc1qfcl8a4ck7uu3phgg5fj6g9servp6f85j3frcd3,Bitcoin,stake.com
,bc1qqydp9muxtnxyet3ryfqc467wjtm23f0r7eh5aa,Bitcoin,stake.com
,bc1qe4n22sduyylws74aewc6y6g32nglvglqu7hted,Bitcoin,stake.com
,bc1qy0ggpxu8f6lta6vf44vervr4py2uu829grj8yh,Bitcoin,stake.com
,bc1q32dzmf4t5a3xxvyxn07scgpmjznnz3kwjhw8uc,Bitcoin,stake.com
,bc1qkrkxgvp2te3xhgn74c2azt4flf9u05y56kh3a9,Bitcoin,stake.com
