,Cryptocurrency addresses associated with Lazarus Group,
,Civil Action No.,20-2396
1,0x52cbb6be7ad204904486f89e264029c94525966d,
2,0xeda8b016efa8b1161208cf041cd86972eee0f31e,
3,3QAmBJmK4PbEg1QeKoVYWcP5LGUsjRodcb,
4,0x1016b7835d409692e02ed2035e053fbfb4602982,
5,0x46705dfff24256421a05d056c29e81bdc09723b8,
6,0x2DBC0f6B71e341C7Eca01c5287Eb57AF3038A9c5,
7,1BHnp77MqZGGFaCGQ9J4GhLstPUeBshVcc,
8,bc1q9zlw8sp3qs3qtp9mswg68g073x65lm7v02ta5r,
9,bc1qpnrkqlyznqdw4qpuzzpnqzknqsjxychct9dq7f,
10,bc1qz00xgh24knenhar7adx3tu0lfe6fk99n7w05q7,
11,bc1qx3umk9rwzl80z0qyt49ajec4ev36h8jrdy7ghn,
12,bc1q2cf3hammnfw3dlh7rsmpmmqyvhlpfq4n2hys4p,
13,bc1q8cn703h86phx6rnphx7wjq09lsahx8jcrs5ued,
14,14LcoKEFrtnGzCSabNZneJqRg2zcFvTRRw,
15,bc1qk2h3tgx5mspv9vjh08lhjfqq457jdkcu5vw64m,
16,bc1qllhp9pkpkae7mdw3n0z2u2znjv4f9k5dvyyyah,
17,1As1nMhxhnN3HM9xK5DPmBS4A8E9RgXZXT,
18,bc1qh5jnylxv5030qhrls6j6uu4cufg0kjnk9psfgu,
19,bc1q87cxpu5cgq07ywkyv68tcl6tfykpf2kdzaawh9,
20,15kNzXrVhZ7ZJ86GLyGCUWjDM1EYDNjiSz,
21,bc1qnzhecl9mwc6nv9plrgm9hph7ldm0egjhsa80gs,
22,1DXbMUZwLea1jiYay1CaCNvYwR3chmVfvf,
23,bc1qxsafg5y5tnt7w343tec8l4mehzwhkkqwzvv5yf,
24,DCRKBSHNTY7OCZ4MTR5MWXETALEQ2DEK6SCRX3ROMLUCHRFXBZ2D4YGJUM,
25,D6OVTBZHNIJTKO5YHKKA3EK4ZXSGW4TVMXIAGY27JVMWZ37M7GZRC2MU3U,
26,D4G3AF7I5OVF3KIGF6QBHHMAICG5CWQSW33NBCKUGKZAXH4BISPMJDY42U,
27,CCZMHKP2AFW54II4XS77YBXLA5SLMRXHQYRRFRZA7IE43YWDWFZYF3ZTNQ,
28,DAQH7K6FCKAWCSSI3LADZQXCKDHPOHF53CH4FT4EPZDHPCMM3SQEFAAX34,
29,CLTKYQRL3Y7JEEKGMFMJCX2JGHDZICNZRMTJ53IBYFLPWBHFY6H6IODURI,
30,DANFVITT5NE5RTP2F5SNOBVNY27ZUFRMAZCH7DNL3RUDITC4H5F63RCQRM,
31,D6KLGE5R77WMGKMHBQNR5SBKRVSVJPKVFDZZCCS7J3LQBS4TN7HKHHTTKE,
